station_id,name,latitude,longitude,n_connectors
Y24USFOI7R3GTSLAFUHM,ES*FCT*E232240,39.1406,-5.92096,2
Q5PFHUSAKY58NCL15R4E,ES*PWH*EFACMERKEM00053,43.383102,-5.748537,4
INIXR4JLNQ1JTCDTWRKV,ES*PWH*EIBIALCKEM00203,39.36511,-0.430242,5
RLWD3ELHW6SDAVSHPM21,ES*PWH*EALCPONKEM00256,42.594414,-8.755006,6
NHXXQFIZHBNSCEFXMUQA,ES*PWH*ERUTCACALF02371,39.468914,-6.390872,18
M2FDJGN6TGIDIR3EPZJY,ES*PWH*EIBIBARKEM00741,41.321274,2.029129,6
H2WBDVLC32TBF1WJMNY6,ES*PWH*EZENVIGDEL00111,42.212193,-8.710245,3
O8DRHJI2DZDX4RLXXUDY,ES*PWH*EGALASTTIT00012,43.404575,-3.835361,2
76BZZQBZGN7Z4FSYENNE,ES*PWH*ECARARRICH00933,40.281834,-3.922469,4
NVPEIQGJCOHNVWDZKEQ8,ES*PWH*ECASROQKEM00891,36.77097,-2.613533,4
4FMZLHQY3Y5WEQGQTCSZ,ES*PWH*EHAWJACKEM001021,42.577766,-0.529058,4
CISFYXOLBLUWVFEWDRG5,ES*PWH*ECBRALISTA00201,38.264095,-0.721607,46
FISIKE0QPUV6VYW6WQQY,ES*REP*E16285*1,40.380363,-3.59776,3
MFXV73HMUDLTTE39GHEC,ES*REP*E16286*1,40.302162,-3.922616,3
DH3M2Z5GMQMMMOU8T7SR,ES*REP*E16291*1,41.671883,-3.682322,2
DMLQOCUBWNW43SNXYMM1,ES*REP*E14685*1,43.219044,-2.408673,3
RQ9JGT4VIDWSPM9E99G1,ES*REP*E16277*1,36.591106,-4.535314,2
OKEPNVSKUX5BS6NAXF2D,ES*REP*E16293*1,42.31657,3.063787,3
V22XCCDM4JXK8SWQ5XZB,ES*REP*E16295*1,43.538563,-7.054475,3
SO0WOWTYM38YJR9CDUAY,ES*REP*E16297*1,40.44985,-3.523931,2
NZ6KXZSJAEPEX0R6MAJG,ES*REP*E16298*1,41.532803,2.116693,2
0JYUB8FT81O3YHHN0JRE,ES*REP*E16299*1,41.761143,-1.149449,3
XIGMFF5WVSU4QGDVMJFS,ES*REP*E16300*1,40.48332,-3.705299,3
U1AW5HXC77HRKDWDCGNK,ES*REP*E16309*1,42.347374,-3.699332,2
7JJQN3BSRUOIMOM23X3C,ES*REP*E16301*1,41.640594,-0.756763,3
CMCHZOIT4ZY1CDO1OXW6,ES*REP*E16316*1,43.290203,-1.505163,3
ZORXDNHMDJEFKM5OI0J4,ES*REP*E16312*1,41.516342,-1.287987,3
CLUE0LUVSMHCGIOGIQ6O,ES*REP*E16319*1,36.40058,-6.167905,4
ICBOQVYRCVF6TVG82BTA,ES*REP*E16322*1,41.49002,1.912936,3
T3KV6BQ2X0DC3LIVYS3E,ES*REP*E16324*2,40.635914,-3.225041,4
6U7XDEDVN7AFCETBV7AB,ES*REP*E16325*1,36.917213,-4.439115,3
SBSYXQUVXYB62UQEHNR5,ES*REP*E16328*1,36.91815,-4.440617,3
YAIWOU2FY1OTGUWQYB91,ES*REP*E16329*1,36.60868,-4.514325,3
TZM2MLHI1JHCWG9HKPZR,ES*REP*E16331*1,38.578075,-0.65521,3
RHUDDFC3UEZPZFY3PEYW,ES*REP*E16338*1,39.44505,-0.755248,3
2GRI8YHFK33PDZF2JQ4S,ES*REP*E16339*1,40.545822,-3.606491,3
GNP1SPPETI1ZM8EB7GBC,ES*REP*E16344*1,43.300804,-2.002389,3
FOFQ1KO7CZAWCSBXV7MN,ES*REP*E16342*1,40.373863,-3.771555,3
4WSQHYYJZYQFYCSKBV2R,ES*REP*E16355*1,41.85387,-1.92631,3
FK0MXYDL9GY7F84VLJYD,ES*REP*E16347*1,39.452095,-0.389682,2
QTWJBKDAJQQGEJKRFLFD,ES*REP*E16749*2,39.44938,-0.49279,22
CHC2TR0MQSDTICCJMRNI,ES*REP*E16359*1,40.231037,-3.776129,3
