latitude,longitude,distributor_raw,gestor_code,province_name,municipio,subestacion,voltage_kv,firm_capacity_mw,distributor_network,grid_status
43.13750644517469,-2.970220121780498,i-DE,R1-001,Araba/Álava,Laudio/Llodio,4972,30.0,0.0,i-DE,Congested
43.13750644517469,-2.970220121780498,i-DE,R1-001,Araba/Álava,Laudio/Llodio,4972,13.2,0.0,i-DE,Congested
43.13750644517469,-2.970220121780498,i-DE,R1-001,Araba/Álava,Laudio/Llodio,4972,30.0,0.0,i-DE,Congested
42.55494377178511,-2.594891242984595,i-DE,R1-001,Araba/Álava,Laguardia,4985,13.2,0.0,i-DE,Congested
42.55494377178511,-2.594891242984595,i-DE,R1-001,Araba/Álava,Laguardia,4985,66.0,0.0,i-DE,Congested
42.81719385396144,-2.787933851849251,i-DE,R1-001,Araba/Álava,Iruña Oka/Iruña de Oca,4653,13.2,0.0,i-DE,Congested
42.81719385396144,-2.787933851849251,i-DE,R1-001,Araba/Álava,Iruña Oka/Iruña de Oca,4653,30.0,0.0,i-DE,Congested
42.82502975080739,-2.6652475962061097,i-DE,R1-001,Araba/Álava,Vitoria-Gasteiz,4654,13.2,0.0,i-DE,Congested
42.82502975080739,-2.6652475962061097,i-DE,R1-001,Araba/Álava,Vitoria-Gasteiz,4654,30.0,0.0,i-DE,Congested
42.82502975080739,-2.6652475962061097,i-DE,R1-001,Araba/Álava,Vitoria-Gasteiz,4654,13.2,0.0,i-DE,Congested
42.82502975080739,-2.6652475962061097,i-DE,R1-001,Araba/Álava,Vitoria-Gasteiz,4654,30.0,0.0,i-DE,Congested
42.84490725910132,-2.3937585891140527,i-DE,R1-001,Araba/Álava,Agurain/Salvatierra,4652,13.2,0.0,i-DE,Congested
42.84490725910132,-2.3937585891140527,i-DE,R1-001,Araba/Álava,Agurain/Salvatierra,4652,30.0,0.0,i-DE,Congested
42.96020153321939,-2.874954623431686,i-DE,R1-001,Araba/Álava,Zuia,4660,13.2,0.0,i-DE,Congested
42.96020153321939,-2.874954623431686,i-DE,R1-001,Araba/Álava,Zuia,4660,30.0,0.0,i-DE,Congested
42.973537913953045,-2.6405112500809254,i-DE,R1-001,Araba/Álava,Legutio,4656,13.2,0.0,i-DE,Congested
42.973537913953045,-2.6405112500809254,i-DE,R1-001,Araba/Álava,Legutio,4656,30.0,0.0,i-DE,Congested
39.019468179018354,-1.893830787248015,i-DE,R1-001,Albacete,Albacete,3548,132.0,0.0,i-DE,Congested
39.019468179018354,-1.893830787248015,i-DE,R1-001,Albacete,Albacete,3548,66.0,0.0,i-DE,Congested
39.019468179018354,-1.893830787248015,i-DE,R1-001,Albacete,Albacete,3548,20.0,0.0,i-DE,Congested
39.019468179018354,-1.893830787248015,i-DE,R1-001,Albacete,Albacete,3548,20.0,0.0,i-DE,Congested
39.019468179018354,-1.893830787248015,i-DE,R1-001,Albacete,Albacete,3548,20.0,0.0,i-DE,Congested
38.85219966469437,-1.0871458303654156,i-DE,R1-001,Albacete,Almansa,3576,132.0,0.0,i-DE,Congested
38.85219966469437,-1.0871458303654156,i-DE,R1-001,Albacete,Almansa,3576,66.0,0.0,i-DE,Congested
38.85219966469437,-1.0871458303654156,i-DE,R1-001,Albacete,Almansa,3576,66.0,0.0,i-DE,Congested
38.85219966469437,-1.0871458303654156,i-DE,R1-001,Albacete,Almansa,3576,20.0,0.0,i-DE,Congested
38.85219966469437,-1.0871458303654156,i-DE,R1-001,Albacete,Almansa,3576,20.0,0.0,i-DE,Congested
39.03877313305918,-2.1574778686366645,i-DE,R1-001,Albacete,Barrax,3590,132.0,0.0,i-DE,Congested
39.03877313305918,-2.1574778686366645,i-DE,R1-001,Albacete,Barrax,3590,20.0,0.0,i-DE,Congested
39.03877313305918,-2.1574778686366645,i-DE,R1-001,Albacete,Barrax,3590,20.0,0.0,i-DE,Congested
39.27419038381229,-1.4712686379949518,i-DE,R1-001,Albacete,Casas-Ibáñez,4118,132.0,0.0,i-DE,Congested
39.27419038381229,-1.4712686379949518,i-DE,R1-001,Albacete,Casas-Ibáñez,4118,66.0,0.0,i-DE,Congested
39.27419038381229,-1.4712686379949518,i-DE,R1-001,Albacete,Casas-Ibáñez,4118,20.0,0.0,i-DE,Congested
39.27419038381229,-1.4712686379949518,i-DE,R1-001,Albacete,Casas-Ibáñez,4118,20.0,0.0,i-DE,Congested
38.94993375512932,-2.5271311355014614,i-DE,R1-001,Albacete,El Bonillo,3591,132.0,0.0,i-DE,Congested
38.94993375512932,-2.5271311355014614,i-DE,R1-001,Albacete,El Bonillo,3591,20.0,0.0,i-DE,Congested
38.94993375512932,-2.5271311355014614,i-DE,R1-001,Albacete,El Bonillo,3591,20.0,0.0,i-DE,Congested
38.39911999823877,-2.225425023393856,i-DE,R1-001,Albacete,Yeste,3580,132.0,0.0,i-DE,Congested
